eez_id,reporting_name,eez_type,territory1,territory1_iso3,territory2,territory2_iso3,territory3,territory3_iso3,sovereign1,sovereign1_iso3,sovereign2,sovereign2_iso3,sovereign3,sovereign3_iso3,area_km2
5685,Maltese Exclusive Economic Zone,200NM,Malta,MLT,NA,NA,NA,NA,Malta,MLT,NA,NA,NA,NA,52913.42483
8482,Myanmar Exclusive Economic Zone,200NM,Myanmar,MMR,NA,NA,NA,NA,Myanmar,MMR,NA,NA,NA,NA,497442.1801
5691,Montenegrin Exclusive economic Zone,200NM,Montenegro,MNE,NA,NA,NA,NA,Montenegro,MNE,NA,NA,NA,NA,6382.369377
8347,Mozambican Exclusive Economic Zone,200NM,Mozambique,MOZ,NA,NA,NA,NA,Mozambique,MOZ,NA,NA,NA,NA,566107.3198
8369,Mauritanian Exclusive Economic Zone,200NM,Mauritania,MRT,NA,NA,NA,NA,Mauritania,MRT,NA,NA,NA,NA,173189.7366
8343,Mauritian Exclusive Economic Zone,200NM,Republic of Mauritius,MUS,NA,NA,NA,NA,Republic of Mauritius,MUS,NA,NA,NA,NA,1278112.771
8483,Malaysian Exclusive Economic Zone,200NM,Malaysia,MYS,NA,NA,NA,NA,Malaysia,MYS,NA,NA,NA,NA,510822.8388
8395,Namibian Exclusive Economic Zone,200NM,Namibia,NAM,NA,NA,NA,NA,Namibia,NAM,NA,NA,NA,NA,562210.1609
8474,Nigerian Exclusive Economic Zone,200NM,Nigeria,NGA,NA,NA,NA,NA,Nigeria,NGA,NA,NA,NA,NA,179050.962
8425,Nicaraguan Exclusive Economic Zone,200NM,Nicaragua,NIC,NA,NA,NA,NA,Nicaragua,NIC,NA,NA,NA,NA,228251.8571
26517,Curaçaoan Exclusive Economic Zone,200NM,Curaçao,CUW,NA,NA,NA,NA,Netherlands,NLD,NA,NA,NA,NA,25397.03798
26526,Sint-Eustatius Exclusive Economic Zone,200NM,Sint-Eustatius,BES,NA,NA,NA,NA,Netherlands,NLD,NA,NA,NA,NA,2175.39497
26519,Aruban Exclusive Economic Zone,200NM,Aruba,ABW,NA,NA,NA,NA,Netherlands,NLD,NA,NA,NA,NA,29950.12607
26520,Bonaire Exclusive Economic Zone,200NM,Bonaire,BES,NA,NA,NA,NA,Netherlands,NLD,NA,NA,NA,NA,12980.24775
26518,Saba Exclusive Economic Zone,200NM,Saba,BES,NA,NA,NA,NA,Netherlands,NLD,NA,NA,NA,NA,9487.860041
21803,Sint-Maarten Exclusive Economic Zone,200NM,Sint-Maarten,SXM,NA,NA,NA,NA,Netherlands,NLD,NA,NA,NA,NA,465.9876147
5668,Dutch Exclusive Economic Zone,200NM,Netherlands,NLD,NA,NA,NA,NA,Netherlands,NLD,NA,NA,NA,NA,64444.33689
5686,Norwegian Exclusive Economic Zone,200NM,Norway,NOR,NA,NA,NA,NA,Norway,NOR,NA,NA,NA,NA,933667.5542
8437,Jan Mayen Exclusive Economic Zone,200NM,Jan Mayen,SJM,NA,NA,NA,NA,Norway,NOR,NA,NA,NA,NA,291637.5632
8399,Bouvet Exclusive Economic Zone,200NM,Bouvet,BVT,NA,NA,NA,NA,Norway,NOR,NA,NA,NA,NA,441841.1025
33181,Svalvard Exclusive Economic Zone,200NM,Svalbard,SJM,NA,NA,NA,NA,Norway,NOR,NA,NA,NA,NA,796621.0453
8317,Nauruan Exclusive Economic Zone,200NM,Nauru,NRU,NA,NA,NA,NA,Nauru,NRU,NA,NA,NA,NA,309260.5128
8447,Niue Exclusive Economic Zone,200NM,Niue,NIU,NA,NA,NA,NA,New Zealand,NZL,NA,NA,NA,NA,318143.6415
8446,Cook Islands Exclusive Economic Zone,200NM,Cook Islands,COK,NA,NA,NA,NA,New Zealand,NZL,NA,NA,NA,NA,1969507.12
8449,Tokelau Exclusive Economic Zone,200NM,Tokelau,TKL,NA,NA,NA,NA,New Zealand,NZL,NA,NA,NA,NA,320617.2682
8455,New Zealand Exclusive Economic Zone,200NM,New Zealand,NZL,NA,NA,NA,NA,New Zealand,NZL,NA,NA,NA,NA,4104579.034
8354,Omani Exclusive Economic Zone,200NM,Oman,OMN,NA,NA,NA,NA,Oman,OMN,NA,NA,NA,NA,556485.9062
8359,Pakistani Exclusive Economic Zone,200NM,Pakistan,PAK,NA,NA,NA,NA,Pakistan,PAK,NA,NA,NA,NA,224387.8325
8423,Panamanian Exclusive Economic Zone,200NM,Panama,PAN,NA,NA,NA,NA,Panama,PAN,NA,NA,NA,NA,331242.3704
8432,Peruvian Exclusive Economic Zone,200NM,Peru,PER,NA,NA,NA,NA,Peru,PER,NA,NA,NA,NA,855322.2843
8322,Philippines Exclusive Economic Zone,200NM,Philippines,PHL,NA,NA,NA,NA,Philippines,PHL,NA,NA,NA,NA,1971039.862
8315,Palau Exclusive Economic Zone,200NM,Palau,PLW,NA,NA,NA,NA,Palau,PLW,NA,NA,NA,NA,614805.2485
